OTU ID,BC_C1_D1_F,BC_C1_D2_F,BC_C1_D3_F,BC_C1_S1_F,BC_C1_S2_F,BC_C1_S3_F,BC_C2_D1_F,BC_C2_D2_F,BC_C2_D3_F,BC_C2_S1_F,BC_C2_S2_F,BC_C2_S3_F,BC_C3_D1_F,BC_C3_D2_F,BC_C3_S1_F,BC_C3_S2_F,BC_C3_S3_F,BC_C4_D1_F,BC_C4_D2_F,BC_C4_D3_F,BC_C4_S1_F,BC_C4_S2_F,BC_C4_S3_F,BC_H1_D3_F,BC_H1_S2_F,BC_H2_D1_F,BC_H2_D2_F,BC_H2_D3_F,BC_H2_S2_F,BC_H2_S3_F,BC_H3_D2_F,BC_H3_S2_F,BC_H3_S3_F,BC_L1_S1_F,BC_L1_S2_F,BC_L1_S3_F,BC_L2_S1_F,BC_L2_S2_F,BC_L2_S3_F,BC_L3_D1_F,BC_L3_D2_F,BC_L3_S1_F,BC_L3_S2_F,BC_L3_S3_F,BC_L4_D3_F,BC_L4_S1_F,BC_L4_S2_F,BC_L4_S3_F,BV_C1_D1_F,BV_C1_D2_F,BV_C1_D3_F,BV_C1_S1_F,BV_C1_S2_F,BV_C1_S3_F,BV_C2_D1_F,BV_C2_D2_F,BV_C2_S1_F,BV_C2_S2_F,BV_C2_S3_F,BV_H1_D1_F,BV_H1_D2_F,BV_H1_D3_F,BV_H1_S1_F,BV_H1_S2_F,BV_H1_S3_F,BV_H2_D1_F,BV_H2_D2_F,BV_H2_D3_F,BV_H2_S1_F,BV_H2_S2_F,BV_H2_S3_F,BV_L1_D1_F,BV_L1_D2_F,BV_L1_D3_F,BV_L1_S1_F,BV_L1_S2_F,BV_L1_S3_F,BV_L2_D1_F,BV_L2_D2_F,BV_L2_D3_F,BV_L2_S1_F,BV_L2_S2_F,BV_L2_S3_F,CP_H3_D1_F,CP_H3_D2_F-1,CP_H3_D2_F-2,CP_H3_S1_F,CP_H3_S2_F,CP_H3_S3_F,CP_L3_D1_F,CP_L3_D2_F-1,CP_L3_D2_F-2,CP_L3_S2_F,CP_L3_S3_F,Ext_Blank1_F,Ext_Blank10_F,Ext_Blank2_F,Ext_Blank3_F,Ext_Blank4_F,Ext_Blank5_F,Ext_Blank7_F,M_C1_D1_F,M_C1_D2_F,M_C1_D3_F,M_C1_S1_F,M_C1_S2_F,M_C1_S3_F,M_C2_D1_F,M_C2_D2_F,M_C2_D3_F,M_C2_S1_F,M_C2_S2_F,M_C2_S3_F,M_C3_S1_F,M_C3_S2_F,M_C3_S3_F,M_H1_D2_F,M_H1_D3_F,M_H2_D2_F,M_L1_D1_F,M_L1_D2_F,M_L1_S2_F,M_L2_D1_F,M_L2_D2_F,M_L2_D3_F,M_L2_S1_F,M_L2_S2_F,M_L3_D1_F,M_L3_D3_F,M_L3_S1_F,M_L3_S3_F,PCR_Blank1_F,PCR_Blank2_F,PCR_Blank3_F,R_C1_S1_F,R_C1_S2_F,R_C1_S3_F,R_C2_S1_F,R_C2_S2_F,R_C2_S3_F,R_C3_D1_F,R_C3_S1_F,R_C3_S2_F,R_C3_S3_F,R_H3_S2_F,R_L1_D1_F,R_L1_S1_F,R_L3_D2_F,R_L3_D3_F,R_L3_S2_F,R_L3_S3_F,BC_C3_D3_F,BC_H1_D1_F,BC_H1_D2_F,BC_H1_S1_F,BC_H1_S3_F,BC_H2_S1_F,BC_H3_D1_F,BC_H3_D3_F,BC_H3_S1_F,BC_H4_D1_F,BC_H4_D2_F,BC_H4_D3_F,BC_H4_S1_F,BC_H4_S2_F,BC_H4_S3_F,BC_L1_D1_F,BC_L1_D2_F,BC_L1_D3_F,BC_L2_D1_F,BC_L2_D2_F,BC_L2_D3_F,BC_L3_D3_F,BC_L4_D1_F,BC_L4_D2_F,BV_C2_D3_F,BV_C3_D1_F,BV_C3_D2_F,BV_C3_D3_F,BV_C3_D3_F1,BV_C3_S1_F,BV_C3_S2_F,BV_C3_S3_F,BV_H3_D1_F,BV_H3_D1_F1,BV_H3_D2_F,BV_H3_D2_F1,BV_H3_D3_F,BV_H3_S1_F,BV_H3_S2_F,BV_H3_S3_F,BV_L3_D1_F,BV_L3_D2_F,BV_L3_D2_F1,BV_L3_D3_F,BV_L3_D3_F1,BV_L3_S1_F,BV_L3_S2_F,BV_L3_S3_F,CP_C1_D1_F,CP_C1_D2_F,CP_C1_D2_F1,CP_C1_S1_F,CP_C1_S2_F,CP_C1_S3_F,CP_C2_D1_F,CP_C2_D2_F,CP_C2_D3_F,CP_C2_S1_F,CP_C2_S2_F,CP_C2_S3_F,CP_C3_D1_F,CP_C3_D2_F,CP_C3_D3_F,CP_C3_S1_F,CP_C3_S2_F,CP_C3_S3_F,CP_H1_D1_F,CP_H1_D2_F,CP_H1_S1_F,CP_H1_S2_F,CP_H1_S3_F,CP_H2_D1_F,CP_H2_D2_F,CP_H2_D3_F,CP_H2_S1_F,CP_H2_S2_F,CP_H2_S3_F,CP_L1_D1_F,CP_L1_D2_F,CP_L1_D3_F,CP_L1_S1_F,CP_L1_S2_F,CP_L1_S3_F,CP_L2_D1_F,CP_L2_D2_F,CP_L2_D3_F,CP_L2_S1_F,CP_L2_S2_F,CP_L2_S3_F,CP_L3_S1_F,Ext_Blank8_F,Ext_Blank9_F,IndexBlank1_F,M_C3_D1_F,M_C3_D2_F,M_C3_D3_F,M_H1_D1_F,M_H1_S1_F,M_H1_S2_F,M_H1_S3_F,M_H2_D1_F,M_H2_D3_F,M_H2_S1_F,M_H2_S2_F,M_H2_S3_F,M_H3_D1_F,M_H3_D2_F,M_H3_D3_F,M_H3_S1_F,M_H3_S2_F,M_H3_S3_F,M_L1_D3_F,M_L1_S1_F,M_L1_S3_F,M_L2_S3_F,M_L2_S3_F1,M_L3_D2_F,Mock1_F,Mock2_F,PCR_Blank4_F,R_C1_D1_F,R_C1_D2_F,R_C1_D3_F,R_C2_D1_F,R_C2_D2_F,R_C2_D3_F,R_C3_D2_F,R_C3_D3_F,R_H1_D1_F,R_H1_D2_F,R_H1_D3_F,R_H1_S1_F,R_H1_S2_F,R_H1_S3_F,R_H2_D1_F,R_H2_D2_F,R_H2_D3_F,R_H2_S1_F,R_H2_S2_F,R_H2_S3_F,R_H3_D1_F,R_H3_D2_F,R_H3_D3_F,R_H3_S1_F,R_H3_S3_F,R_L1_D2_F,R_L1_D3_F,R_L1_S2_F,R_L1_S3_F,R_L2_D1_F,R_L2_D2_F,R_L2_D3_F,R_L2_S1_F,R_L2_S2_F,R_L2_S3_F,R_L3_D1_F,R_L3_S1_F,taxonomy
0008179d027d3ce7d42936b2713206f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces; s__unidentified
000b70873c982cc660be3756a626b526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Sympoventuriaceae; g__Ochroconis; s__unidentified
0018abb57dfd21f5189669369085c4e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,68,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Sympoventuriaceae; g__Ochroconis; s__unidentified
001cf4d3244ee1cafa46a7f716144999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__unidentified; g__unidentified; s__unidentified
001d45f2f1139c02c5c6f3bf1cb91876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Meristemomyces; s__Meristemomyces_frigidus
001ec7e1718dd19dbf7b871a775c279a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
0021bef69b4ae884bf1b9b56b769f8f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
0025a3d706348c3d1321441dd00101c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Leucosporidiales; f__Leucosporidiaceae; g__Leucosporidium; s__Leucosporidium_escuderoi
00277b016e689202a5edda9d5fa4663e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Leucosporidiales; f__Leucosporidiaceae; g__Leucosporidium; s__Leucosporidium_golubevii
0027c00e28e5be05f017724f2e4ce5c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Coniothyriaceae
